PO,Department,cap_year,Project name,capex_description,Forecast,cost_center
4500012349,DEPT_13,2024,Truck Rail Scale/AVS/AWS_MOL ,Capex 95,4582.58,CC1007
4500012349,DEPT_13,2025,Pre-Study+Training+Ini.,Capex 9,6056.37,CC1001
4500012349,DEPT_15,2024,BBA320 P2 (wishlist item 4),Capex 46,3161.62,CC1004
4500012349,DEPT_15,2024,Truck Rail Scale/AVS/AWS_MOL ,Capex 69,3279.76,CC1004
4500012349,DEPT_15,2023,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 68,7648.59,CC1006
4500012349,DEPT_15,2025,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 14,3088.55,CC1005
4500012349,DEPT_14,2025,OEM MM series MOL (wishlist item 3),Capex 26,9052.14,CC1010
4500012349,DEPT_15,2022,OEM VM EX J-BOX,Capex 5,5794.15,CC1001
4500012349,DEPT_13,2024,Mngmnt admin,Capex 22,3930.66,CC1008
4500012349,DEPT_14,2023,Pre-Study+Training+Ini.,Capex 1,9397.64,CC1002
4500012349,DEPT_15,2024,Truck Rail Scale/AVS/AWS_MOL ,Capex 11,6269.19,CC1007
4500012349,DEPT_15,2025,Truck Rail Scale/AVS/AWS_MOL ,Capex 43,6138.29,CC1005
4500012349,DEPT_14,2022,BBA256xx,Capex 81,5947.14,CC1002
4500012349,DEPT_15,2023,Truck Rail Scale/AVS/AWS_MOL ,Capex 60,8546.22,CC1002
4500012349,DEPT_14,2024,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15,Capex 31,7264.82,CC1005
4500012349,DEPT_14,2022,Term_MOL+ISB+Platform+LIME support of MOL IND571+Terminal ETO,Capex 70,5503.95,CC1010
4500012349,DEPT_13,2025,IND400_P2/P3/P4/P5/P7+IND200/P1,Capex 96,5656.79,CC1003
4500012349,DEPT_14,2022,Mgmt+Initiatives+training+pre-study,Capex 75,3278.22,CC1007
4500012349,DEPT_13,2023,VTSX6X export,Capex 76,4939.02,CC1002
4500012349,DEPT_14,2025,OEM Admin APW,Capex 64,6851.9,CC1008
4500012349,DEPT_13,2022,BP_MOL+LPB,Capex 92,8797.73,CC1004
4500012349,DEPT_13,2025,OEM SWC516 NG PM,Capex 12,6635.03,CC1006
4500012349,DEPT_15,2024,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 88,5668.87,CC1007
4500012349,DEPT_14,2022,OEM Level Detection,Capex 44,6293.53,CC1006
4500012349,DEPT_14,2022,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15,Capex 30,8305.2,CC1009
4500012349,DEPT_13,2023,OEM PM series MOL,Capex 89,5897.62,CC1002
4500012349,DEPT_15,2025,OEM Next Gen MM,Capex 26,6925.79,CC1006
4500012349,DEPT_14,2023,T&L and Scale support (combined to MOL),Capex 78,1578.51,CC1006
4500012349,DEPT_13,2022,Floor_MOL+Crane MOL+PHD,Capex 7,8035.92,CC1007
4500012349,DEPT_13,2023,OEM APW ETO,Capex 45,8895.95,CC1008
4500012349,DEPT_13,2022,Truck Rail Scale/AVS/AWS_ETO,Capex 22,6021.47,CC1009
4500012349,DEPT_15,2023,Truck Rail Scale/AVS/AWS_ETO,Capex 23,2230.01,CC1005
4500012349,DEPT_14,2022,Pre-Study+Training+Ini.,Capex 31,4865.87,CC1002
4500012349,DEPT_14,2023,LWBD SWB805 HMM,Capex 3,6676.36,CC1003
4500012349,DEPT_15,2022,IND400_P2/P3/P4/P5/P7+IND200/P1,Capex 80,1901.34,CC1007
4500012349,DEPT_13,2025,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 69,4501.59,CC1006
4500012349,DEPT_13,2022,OEM SWP331D Proejct (wishlist item 1),Capex 12,7871.06,CC1008
4500012349,DEPT_15,2024,OEM Admin WM,Capex 2,5373.44,CC1003
4500012349,DEPT_14,2023,BMIC P1,Capex 53,5360.62,CC1007
4500012349,DEPT_15,2023,FA (TBU A08 Singularity MTCT),Capex 8,5078.55,CC1003
4500012349,DEPT_13,2022,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 54,1112.3,CC1002
4500012349,DEPT_13,2025,OEM Pre-study APW (wishlist item 2),Capex 45,5727.77,CC1003
4500012349,DEPT_14,2023,OEM RapidCal,Capex 12,2212.19,CC1006
4500012349,DEPT_13,2022,Floor_MOL+Crane MOL+PHD,Capex 25,7092.01,CC1010
4500012349,DEPT_15,2022,Leave,Capex 75,9992.31,CC1010
4500012349,DEPT_14,2022,LWBD SWB805 HMM,Capex 61,4162.18,CC1007
4500012349,DEPT_15,2022,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 27,9580.37,CC1001
4500012349,DEPT_15,2022,PJA5 P2/P1,Capex 37,7249.86,CC1007
4500012349,DEPT_15,2022,OEM Academy MOL,Capex 92,4604.01,CC1004
4500012349,DEPT_14,2023,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO,Capex 41,6456.64,CC1010
