IO,Project Name
2000009280,BBA256xx
2000008641,IND400 Combi
2000008180,NBP P1
2000010100,NBP P1
2000009001,BBA320 P2 (wishlist item 4)
2000009300,BMIC P1
-1,NFP
2000008920,PJA5 P2/P1
2000007181,PJA5 P2/P1
2000009582,Pre-Study+Training+Ini.
2000009583,Pre-Study+Training+Ini.
2000009585,Pre-Study+Training+Ini.
2000000485,BP_MOL+LPB
2000006460,BP_MOL+LPB
2000000545,Floor_MOL+Crane MOL+PHD
2000000552,Floor_MOL+Crane MOL+PHD
2000006221,Floor_MOL+Crane MOL+PHD
2000000546,Floor_MOL+Crane MOL+PHD
2000000539,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15
2000009801,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15
2000009802,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15
2000009803,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15
2000006322,SI OEM_MOL+LIME PRA455+LIME GSP30/60/150+LIME GSP15
2000007780,SmartShelf
2000009586,Mngmnt
2000009584,Leave
2000007383.0,OEM Level Detection
2000008841.0,OEM SPD12002 (wishlist item 1)
2000009581.0,OEM SWP331D Proejct (wishlist item 1)
2000003922.0,OEM WM ETO (wishlist item 7)
2000003924.0,OEM MM series MOL (wishlist item 3)
2000003925.0,OEM PM series MOL
2000003927.0,OEM APW series MOL
2000003930.0,LWBD SWB805 HMM
2000003928.0,LWBD SWB805 HMM
2000003931.0,OEM RapidCal
2000006783.0,OEM SWC516 NG PM
2000006784.0,OEM SG APW (wishlist item 1)
2000006785.0,OEM Pre-study WM (wishlist item 4)
2000006787.0,OEM Pre-study APW (wishlist item 2)
2000006790.0,OEM Admin WM
2000003932.0,OEM Admin WM
2000006791.0,OEM Admin APW
2000006792.0,OEM Academy MOL
2000006788.0,OEM APW ETO
2000007382.0,OEM VM EX J-BOX
2000008840.0,OEM SWB600 (wishlist item 3)
2000009321.0,OEM Next Gen MM
-1,OEM Anti-corrison WM (wishlist item 4)
-1,OEM Next Gen WKC (wishlist item 2)
2000007903.0,OEM Li battery WM
2000007424.0,IND700P2/P1(含NXP)
2000005102.0,IND700P2/P1(含NXP)
2000003061.0,FA (TBU A08 Singularity MTCT)
2000009140.0,IND400_P2/P3/P4/P5/P7+IND200/P1
2000007660.0,IND400_P2/P3/P4/P5/P7+IND200/P1
2000009981.0,IND400_P2/P3/P4/P5/P7+IND200/P1
2000007683.0,IND400_P2/P3/P4/P5/P7+IND200/P1
2000007766.0,IND500x_P2(含NXP)
2000005980.0,IND590 P1+CyberSecurity (含NXP)
-1,IND256xx
2000000472.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO+support T&L and IW
2000005280.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000005281.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000006463.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000002941.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000009800.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000002942.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000005342.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000008284.0,Term_MOL+ISB+Platform+LIME support of MOL IND570+Terminal ETO
2000009587.0,Term_MOL+ISB+Platform+LIME support of MOL IND571+Terminal ETO
2000005303.0,Leave
2000003063.0,Mgmt+Initiatives+training+pre-study
2000005302.0,Mgmt+Initiatives+training+pre-study
2000005304.0,Mgmt+Initiatives+training+pre-study
2000005843.0,Mgmt+Initiatives+training+pre-study
-1,T&L and Scale support (combined to MOL)
-1,Edition 7
2000000755.0,Truck Rail Scale/AVS/AWS_MOL 
2000000447.0,Truck Rail Scale/AVS/AWS_MOL 
2000002772.0,Truck Rail Scale/AVS/AWS_MOL 
2000000441.0,Truck Rail Scale/AVS/AWS_MOL 
2000000757.0,Truck Rail Scale/AVS/AWS_MOL 
2000000449.0,Truck Rail Scale/AVS/AWS_MOL 
2000008262.0,Truck Rail Scale/AVS/AWS_MOL 
2000008161.0,Truck Rail Scale/AVS/AWS_MOL 
2000007260.0,Truck Rail Scale/AVS/AWS_MOL 
2000002774.0,Truck Rail Scale/AVS/AWS_MOL 
2000002775.0,Truck Rail Scale/AVS/AWS_MOL 
2000000863.0,Truck Rail Scale/AVS/AWS_ETO
2000000864.0,Truck Rail Scale/AVS/AWS_ETO
2000000865.0,Truck Rail Scale/AVS/AWS_ETO
2000000920.0,Truck Rail Scale/AVS/AWS_ETO
2000002773.0,Truck Rail Scale/AVS/AWS_ETO
2000002776.0,Truck Rail Scale/AVS/AWS_ETO
2000000942.0,Truck Rail Scale/AVS/AWS_ETO
2000000764.0,Mngmnt admin
2000008741.0,Mngmnt admin
2000008320.0,DataMaster
2000008760.0,Enabler+training
2000008763.0,Enabler+training
2000003260.0,Enabler+training
2000008761.0,Enabler+training
2000009181.0,VTS520 (MO wishlist item 5)
2000008762.0,Leave
2000009860.0,T&L support
-1,Truck scale (PDX-E)
-1,AVS Software optimization
2000009861.0,Gas weighting  (MO wishlist item 2)
2000009680.0,VTSX6X export
-1,"MO wishlist (item 1,3,4)"
